,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kahului,20,US,1603729789,69,20.89,-156.47,23.0,2.89
1,charters towers,99,AU,1603729864,57,-20.1,146.27,25.1,3.18
2,kapaa,41,US,1603729749,73,22.08,-159.32,25.68,1.39
3,cabo san lucas,5,MX,1603729776,48,22.89,-109.91,29.44,1.5
4,vaini,20,TO,1603729736,94,-21.2,-175.2,22.0,3.6
5,rikitea,79,PF,1603729740,83,-23.12,-134.97,24.05,8.18
6,yellowknife,75,CA,1603729739,68,62.46,-114.35,-4.0,5.1
7,george,90,ZA,1603729850,93,-33.96,22.46,17.0,8.2
8,new norfolk,68,AU,1603729744,66,-42.78,147.06,10.0,0.57
9,vila franca do campo,40,PT,1603729874,83,37.72,-25.43,21.0,6.7
10,aksarka,79,RU,1603729776,95,66.56,67.8,-14.58,4.38
11,aleksandrov gay,24,RU,1603730277,67,50.15,48.57,8.98,4.62
12,takoradi,85,GH,1603729782,83,4.88,-1.76,27.14,4.8
13,poum,1,NC,1603729885,80,-20.23,164.02,24.43,7.15
14,maumere,90,ID,1603730278,76,-8.62,122.21,27.09,2.95
15,kysyl-syr,100,RU,1603730278,91,63.9,122.76,-12.35,3.64
16,gubkinskiy,82,RU,1603730278,96,64.43,76.5,-11.34,6.11
17,bluff,17,NZ,1603729764,85,-46.6,168.33,6.8,1.69
18,guerrero negro,71,MX,1603729796,61,27.98,-114.06,21.35,7.38
19,saint-philippe,0,RE,1603729786,83,-21.36,55.77,23.0,1.5
20,ushuaia,40,AR,1603729687,33,-54.8,-68.3,15.0,8.7
21,albany,100,US,1603729519,87,42.6,-73.97,8.33,3.9
22,arraial do cabo,20,BR,1603729585,74,-22.97,-42.03,26.0,4.1
23,dire,0,ML,1603730280,30,12.28,-10.97,33.24,0.61
24,avera,90,US,1603729866,73,33.19,-82.53,20.0,3.1
25,busselton,6,AU,1603729735,71,-33.65,115.33,13.33,1.45
26,atuona,12,PF,1603729735,75,-9.8,-139.03,25.89,10.09
